company_name,member_name,phone,websites
C.A.TEXTILE MILLS (PVT) LTD,MR. CHAUDHRY SALAMAT ALI, +92-42-35839634-6,catextile.com
CHAKWAL TEXTILE MILLS LTD,MR. MOHAMMAD AMAN," +92-42-35757108, 35717510",chakwal.pk
CHAUDHRY SUGAR MILLS LTD (TEXTILE DIVISION),MIAN YOUSAF ABBAS SHARIF, +92-42-35858135-6,
CHINIOT TEXTILE MILLS LTD,MR. SAQIB ELLAHI, +92-42-35756181-3,chiniottex.com
COLONY TEXTILE MILLS LTD,MIAN FAREED MUGHIS SHEIKH, +92-42-111-265-269,colonytextiles.com
COMBINE SPINNING (PVT) LTD,MR. TALLAT MEHMOOD, +92-42-35913181-84,combinespinning.com
COMFORT KINTWEARS (PVT) LTD,MR. MUHAMMAD ASHER KHURRAM, +92-42-111000045,comfortknitwearspvtltd.enic.pk
CRESCENT BAHUMAN LTD,MR. NASIR SHAFI, +92-42-111-245-245,crescentbahuman.com
CRESCENT COTTON MILLS LTD,MR. ABID MEHMOOD, +92-41-8750363-64,crescentcotton.com
CRESCENT COTTON PRODUCTS (COTTON DIVISION OF CS&APL),MR. AHSAN M. SALEEM, +92-42-35783801,crescent.com.pk
CRESCENT TEXTILE MILLS LTD,MR. MIAN MUHAMMAD ANWER, +92-41-8786401,crescenttextile.com
DIN TEXTILE MILLS LTD,SHAIKH MOHAMMAD TANVEER, +92-42-35323611-3,dingroup.com
DIAMOND FABRICS LTD,MR. AMER ABDULLAH, +92-42-111-000-100,diamondfabrics.com
DIN INDUSTRIES LTD,MR. IRFAN MUNEER, +92-42-35966122-8,
ELLCOT SPINNING MILLS LTD,MR. SHAFQAT ELLAHI SHAIKH, +92-42-35756270-77,
EJAZ SPINNING MILLS LTD,Dr. GOHAR EJAZ, +92-42-111-799-799,ejazgroup.com
EJAZ TEXTILE MILLS LTD,Dr. GOHAR EJAZ, +92-42-111-799-799,ejazgroup.com
FANZ SPINNING MILLS,SHEIKH AMJAD HUSSAIN, +92-42-35830397,
ESCORTS ADVANCED EXCEL TEXTILES,MR. SHER AHMAD, +92-42-37809075,escortsadvanced.com
FAZAL CLOTH MILLS LTD,SHEIKH NASEEM AHMED," +92-61-4573338-39, 4588216",fazalcloth.com
FURQAN TEXTILE,MR. RIZWAN RIAZ SAIGAL," +92-41-8845085, 8847059, 8845193",
GHAZI FABRICS INTERNATIONAL LTD,MR. MUHAMMAD ARSHAD CHAUDHARY, +92-42-35764026-8,ghazifabrics.com
GLAMOUR TEXTILE MILLS LTD,MR. AZHER ELAHI, +92-42-35392794-95,glamourtextiles.com
GOHAR TEXTILE MILLS (PVT) LTD,MR. LIAQAT ALI, +92-41-8520771,gohartextile.com
GREEN COTTON PRODUCTS (PVT) LTD,–, 041-2645950,
H. A. HAQ SPINNING MILLS (PVT.) LTD,MR. HAMAYUN QAISER," +92-41-2619490, 2619690",
H.A. FIBRES (PVT) LTD,MRS. SABEENA HUSNAIN, +92-42-35694281-83,hafibres.com
H.SHAIKH NOOR-UD-DIN & SONS (PVT) LTD,MR. FARHAJ SARWAR, +92-42-34500000,hsnds.com
ASHER IMRAN SPININNING MILLS (PVT) LTD,MR. MUHAMMAD IMRAN KHURRAM, +92-42-111-000-045,
A.A. COTTON MILLS LTD,MR. ABDUL ALEEM, +92-21-111-31-31-31,
HUSNAIN TEXTILE MILLS (PVT) LTD,MR. SABEENA HUSSNAIN, +92-42-35694281-83,husnaintex.com
IDREES TEXTILE MILLS LTD,MR. S.M. MANSOOR ALLAWALA, +92-21-34940026-30,idreestextile.com
HUSSAIN MILLS LTD,MR. MUHAMMAD ISMAIL," +92-61-6527283, 6528245",hussaingroup.com
IBRAHIM FIBRES LTD,MR. MOHAMMAD NAEEM MUKHTAR, +92-42-5869151,igcpk.com
IDEAL SPINNING MILLS LTD,MR. AMJAD SAEED," +92-41-2634902, 2626830",idealsm.com
INDUS HOME LTD,MR. IRFAN AHMAD, +92-42-111-404-405,indus-home.com
IHSAN COTTON PRODUCTS (PVT) LTD,MR. ASIF IHSAN, +92-42-35770411-15,ihsancotton.com
IHSAN SONS (PVT) LTD,MR. MAHMOOD IHSAN, +92-42-35395301-4,ihsansons.com
AN TEXTILE MILLS LTD,MR. NISAR AHMAD SHEIKH, +92-41-4689259-60,antextile.com.pk
INDUS LYALLPUR LTD,MR. NAVEED AHMED, +92-42-35860952-57,indus-group.com
INTERLOOP LTD,MR. NAVID FAZIL, +92-41-4360400,interloop-pk.com
J.A. TEXTILE MILLS LTD,MR. IMRAN ZAHID, +92-41-8721953-6,jatml.com
ITTEHAD (PVT) LTD,MR. ASIM MAQSOOD, +92-41-111-102-202,
JAMHOOR TEXTILE MILLS LTD,MR. DANISH KAISAR MONNOO, +92-42-36364412-14,monnoo.com
J.K. SPINNING MILLS LTD,MR. FAIQ JAWED, +92-41-111-15-15-15,
KAMAL LIMITED,MR. AHMAD KAMAL, +92-41- 2424001,kamallimited.com
KAMAL TEXTILE MILLS (PVT) LTD,MR. ABID KAMAL, +92-41-2424031-9,kamaltextiles.com
KARAM-E-KAREEM SPINNING MILLS (PVT) LTD,MR. MANZOOR-UL-HAQ, +92-61-6222868,
KHALID SHAFIQUE SPINNING MILLS LTD,MR. CH. KHALID SHAFIQUE, +92-42-5755818,
ARCTIC TEXTILE MILLS LIMITED,MR. MUHAMMAD IQBAL," +92-41-2610025, 2610028, 2610030",arctictextile.com
KOHINOOR MILLS LTD,MR. AAMIR FAYYAZ SHEIKH, +92-42-111-941-941,kohinoormills.com
KOHINOOR TEXTILE MILLS LTD,MAIN TAUFIQUE SAYEED SAIGOL, +92-42-5394133,kmlg.com
MAQBOOL TEXTILE MILLS LTD,MIAN TANVIR AHMAD SHEIKH," +92-61-6539203, 6539551-52",maqboolgroup.com
MAHMOOD TEXTILE MILLS LTD,KHAWAJA MUHAMMAD IQBAL, +92-61-111-181-181,mahmoodtextile.com
MASOOD FABRICS LTD,KHAWAJA MUHAMMAD ILYAS, +92-61-111-181-181,
MASOOD SPININNG MILLS LTD,KHAWAJA JALALUDDIN ROOMI, +92-61-111-181-181,
MASOOD TEXTILE MILLS LTD,MR. SHAHID NAZIR AHMAD, +92-41-8787931-4,masoodtextile.com
MASTER TEXTILE MILLS LTD,MR. NAJEEB MALIK, +92-42-35752620-22,mastertex.com
MAYFAIR LIMITED,MR. SHAHID IQBAL, +92-42-111-666-123,mayfair.com.pk
MOIZ TEXTILE MILLS LTD,SYED HAISAN JAFRI, +92-42-35393679-80,moiztextile.com
MONNOOWAL TEXTILE MILLS LTD,MR. SHERAZ J MONNOO," +92-42-36312973, 36634412-14",monnoo.com
NAGRA SPINNING MILLS (PVT) LTD,MR. ZAHEER UL HASSAN, +92-41-2641297,nagraspinning.com
NISAR SPINNING MILLS (PVT) LTD,MIAN ANJUM NISAR, +92-42-36288389,nisarspinning.com
NAFEESA TEXTILES LTD,MR. AHSAN SHAHID WARAICH, +92-42-35169214-16,nafeesatextiles.com
NISHAT MILLS LTD,MIAN UMER MANSHA, +92-42-35716351-9,nishatmillsltd.com
NOON TEXTILE MILLS LTD,MR. CH. MUHAMMAD TARIQ, +92-42-35756504-5,
NISHAT (CHUNIAN) LTD,MR. SHAHZAD SALEEM, +92-42-35761730,
OLYMPIA BLENDED FIBRE MILLS LTD,MR. DANISH KAISAR MONNOO, +92-42-36364432,monnoo.com
PAK KUWAIT TEXTILES LTD,MR. TARIQ MEHMOOD, +92-42-111-888-600,pakkuwait.com
NORTH STAR TEXTILES LTD,MR. MUHAMMAD AKBER SHEIKH, +92-42-111-864-724,northstartextiles.com
PROSPERITY WEAVING MILLS LTD,MR. SHAUKAT ELLAHI SHAIKH, +92-42-35756270-77,nagina.com
PARADISE SPINNING MILLS (PVT) LTD,MR. NAVEED AHMAD, +92-41-8503551-52,paradisespinningmills.com
QURESHI TEXTILE MILLS LTD,MR. DANISH KAISER MONNOO, +92-42-36364412-14,monnoo.com
RAFIQ SPINNING MILLS (PVT) LTD,MR. MUHAMMAD SIDDIQUE," +92-41-2638798, 2616174, 2645078",rafiqmills.com
RAVI SPINNINGS LTD,MR. SYED NISAR HUSSAIN GILANI, +92-42-35918212,
RELIANCE WEAVING MILLS LTD,MR. FAZAL AHMED SHEIKH, +92-42-35909449,fatima-group.com
REDCO TEXTILES LTD,MS. SARAH SAIF KHAN, +92-51-2344257,redcotextiles.com
RELIANCE COTTON & SPINNING MILLS LTD,MR. YOUSAF ABDULLAH, +92-42-111-000-100,reliancespinning.com
ROOMI FABRICS LTD,KHAWAJA MUHAMMAD YOUNS, +92-61-111-181-181,masood-roomi.com
RESHAM TEXTILE INDUSTRIES LTD,CH. MUHAMMAD KHURSHID,,reshamtextile.com
RIAZ TEXTILE MILLS (PVT) LTD,MIAN RIAZ AHMED," +92-42-35770036, 5570037",riaztextile.com
SADAQAT LTD,MR. KHURRAM MUKHTAR, +92-41-8507501-6,sadaqatgroup.com
RUSTAM TOWEL (PVT) LTD,MR. ZIA ARIF, +92-42-35271752-53,rustamtowel.com
SAAD TEXTILE MILLS (PVT) LTD,MR. PERVAIZ ANWAR SHEIKH," +92-42-5750530, 5750533, 5754361, 5754364",saadtextiles.com
SAPPHIRE FIBERS LTD,MR. YOUSUF ABDULLAH, +92-42-111-000-100,sapphiretextiles.com.pk
SAMIRA FABRICS (PVT) LTD,MIAN KAMAL MANNOO, +92-42-35718204-5,samirafab.com
SAMIRA INDUSTRIES (PVT) LTD,MIAN KAMAL MANNOO, +92-42-35718204-5,samiraindustries.com
SAPPHIRE FINISHING MILLS LTD,MR. YOUSUF ABDULLAH, +92-42-111-000-100,sapphiremills.com
SARITOW SPINNING MILLS LTD,MR. SAMIR IQBAL SAIGOL, +92-42-5715029-31,saritowspillingmillsltd.com
SARENA TEXTILE INDUSTRIES (PVT) LTD,MR. ASIF MASOOD, +92-42-111-222-500,sarenapk.com
SARFRAZ TEXTILE MILLS (PVT) LTD,MIAN MUHAMMAD TARIQ, +92-41-2633163-66,
SERVICE INDUSTRIES TEXTILES LTD,MR. MUHAMMAD HAMEED, +92-42-36304561,sitl.com.pk
SHAFI SPINNING MILLS LTD,MR. ZAHID RASHID KHAWAJA, +92-42-36311127-28,
SHADAB TEXTILE MILLS LTD,MIAN AAMIR NASEEM," +92-42-35788714, 35788715",shadabtextile.com
SHADMAN COTTON MILLS LTD,MR. SHAHID MAZHAR, +92-42-35959121-5,shadman.com.pk
SHAHTAJ TEXTILE LTD,MR. MUHAMMAD NAEEM," +92-42-5833875, 7541010, +92-49-4540133",shahtaj.com
SHAFI TEXCEL LIMITED,MR. FAISAL SHAFI, +92-42-35393612-14,shafitexcel.com
SHAHBAZ GARMENTS (PVT) LTD,MR. HUSSAIN KASSAM, +92-21-34520061-62,
SHAMS TEXTILE MILLS LTD,MR. AHSAN BASHIR, +92-42-35760381,shams.com.pk
SHAHZAD TEXTILE MILLS LTD,MR. IMRAN ASLAM, +92-42-35758203,shahzadtex.com
SHOAIB SALMAN TEXTILE MILLS,MR. SHEHZAD AHMAD FAROOQ, +92-40-4220623-24,sstmpk.com
SHUJABAD WEAVING MILLS LTD,MIAN QAISER SHABBIR, +92-61-6243601-05,shujabadgroup.com
SHEIKHUPURA TEXTILE MILLS LTD,MR. MUHAMMAD ASIF, +92-42-5756193,
SILVER FIBER SPINNING MILLS LTD,MIAN SHAHZAD ASLAM," +92-42-35763736 , 35773742",
SITARA CHEMICAL INDUSTRIES LTD,MR. HASEEB AHMAD, +92-41-2643260,sitara.com.pk
SIARA TEXTILE MILLS (PVT) LTD,MR. AKHTAR ALI CHOUDHRY, +92-42-35204094-95,
SOHAIL TEXTILE MILLS LTD,MR. NAJIB USMAN, +92-35756181-83,
STANDARD SPINNING MILLS (PVT) LTD,MR. SHAHZAD ALI KHAN," +92-42-5831981, 5831991",ssgroup.pk
SUNRAYS TEXTILE MILLS LTD,MIAN KASHIF RIAZ, +92-61-4547114,indus-group.com
TAHIR RAFIQUE TEXTILE MILLS (PVT) LTD,MIAN MUHAMMAD TAHIR," +92-41-2633171 ,2633172",tahirrafiquegroup.com
TANVEER COTTON MILLS (PVT) LTD,MIAN AZHAR SALEEM, +92-42-35772950-57,tanveergroup.com
TANVEER SPINNING & WEAVING MILLS (PVT) LTD,MIAN AZHAR SALEEM, +92-42-35772950-57,
TAYYAB TEXTILE MILLS LTD,MIAN MUHAMMAD TAYYAB," +92-41-2633163-66, 2612912",tayyabgroup.com
TATA TEXTILE MILLS LTD,MR. SHAHID ANWAR TATA, +92-21-32426761,tatapakistan.com
TAXILA COTTON MILLS LTD,MR. MAHBOOB ELAHI, +92-51-4433451-3,taxila.com.pk
TAYMUR SPINNING MILLS LTD,MR. AAMIR ATA BAJWA, +92-41-8503551-52,
US & DYNAMO MILLS (PVT) LTD,MR. MUHAMMAD SIDDIQUE BHATTI, +92-42-353 40 034-40,
ULFAT TEXTILE MILLS (PVT) LTD,MR. MUHAMMAD ADEEL USMAN, +92-42-35758075-6,
UMAR SPINNING MILLS (PVT) LTD,MR. MUHAMMAD FAISAL PERVAIZ," +92-21-32630724, 32633641",umarspinning.com
Z.A. CORPORATION (PVT) LTD,SHEIKH DANISH ALI, +92-41-4712615,zacorporation.com.pk
US DENIM MILLS (PVT) LTD,MIAN MUHAMMAD AHSAN," +92-423-5340345-59, 5340367",usdenimmills.com
ZEPHYR TEXTILES LTD,MR. MUSSAID HANIF, +92-42-35753202,zephyr.com.pk
ZAHIDJEE TEXTILE MILLS LTD,MR. MUHAMMAD ZAHID, +92-41-2409221-23,zahidjee.com.pk
EASTERN SPINNING MILLS LTD,MR. S.ANJUM ZAFAR, +92-42-35885171-72,easterngroup-pk.com
H.A.R FIBRES (PVT) LTD,MR. SHAHID MEHMOOD SHEIKH, +92-41-2631133-34,harfibres.com
LUCKY TEX PAKISTAN (PVT) LTD,MR. SALMAN AHMED TABBA, +92-21-32569791-5,luckytexonline.com
NASEEM EXPORTS (PVT) LTD,MR. MUHAMMAD ADIL NASEEM, +92-42-35788736-37,
AHMED HASSAN SPINNING LTD,MR. MIAN MUHAMMAD JAHANZEB, +92-61-4544455,ahsl.com.pk
SHAJARPAK (PRIVATE) LTD,MR. KHAWAJA AHMAD USMAN, +92-42-36284949,shajarpak.com
,,,
,,,
,,,
,,,
MEMBERS FROM SOUTHERN ZONE,,,
ADNAN TEXTILE MILLS (PVT) LTD,MR. ABDUL REHMAN CHAWLA," +92-21-32562878-79, 32568141",
AL-AHMED TEXTILE MILLS (PVT) LTD,MR. FAWAD YUSUF, +92-21-34542791,alahmedtex.com
AL-KARAM TEXTILE MILLS (PVT) LTD,MR. ANWAR HAJI KARIM," +92-21-233036, 2312113, 2314450",alkaram.com
AL-MUQEET TEXTILES (PVT) LTD,MR. ALI ZAMAN KHAN, +92-21-35638362-5,almuqeettextiles.com
AMIN TEXTILE MILLS (PVT) LTD,MR. BILAL TARIQ," +92-21-32626358, 32638370",amintextile.com
AMNA INDUSTRIES (PVT) LTD,MR. AFZAL UMER, +92-21-32313031-35,amna.com.pk
ARTISTIC MILLINERS (PVT) LTD,MR. MUHAMMAD OMER AHMED," +92-21-38709172, 35072586",artisticmilliners.com
BAJWA SPINNING MILLS (PVT) LTD,MR. MUNAWAR ALI BAJWA, +92-21-34537874,
ARTISTIC DENIM MILLS LTD,MR. FAISAL AHMED, +92-21-111-236-236,admdenim.com
BHANERO TEXTILE MILLS LTD,MR. KHURRUM SALIM, +92-42-111-130-130,umergroup.com
CRESCENT FIBRES LTD,MR. IMRAN MAQBOOL, +92-21-35682073-74,crescentfibres.com
DIAMOND INTERNATIONAL CORPORATION LTD,MR. ASIF INAM, +92-21-32410663-64,
EQUITY TEXTILES LTD,MR. UMBREEN ZAHID BASHIR, +92-21-32415501,equitytextiles.com.pk
FAISAL SPINNING MILLS LTD,MR. BILAL SHARIF, +92-21-35115177-80,umergroup.com
FASHION KNIT INDUSTRIES,MR. AMANULLAH, +92-21-111-111-354,fkind.com
FIMCOTEX INDUSTRIES (PVT) LTD,MR. MASOOD PERVEZ, +92-21-34549645-47,
GUL AHMED TEXTILE MILLS LTD,MR. BASHIR ALI MOHAMMAD," +92-21-111-485-485, 111-486-486, 35020572",gulahmed.com
HANTEX,MR. MUHAMMAD HANIF MACHIYARA, 111-426-839,
INDUS DYEING & MANUFACTURING CO. LTD,MR. SHAHZAD AHMED," +92-21-111-404-404, 35693641-60",indus-group.com
KASSIM TEXTILES (PVT) LTD,MR. AMANULLAH KASSIM," +92-21-5021160-65, 35001601-07",kassimdenim.com
KHAS TEXTILE MILLS (PVT) LTD,MR. KHURRAM ASHFAQ, +92-21-35824935-38,khasindustries.com
LATIF TEXTILE MILLS (PVT) LTD,MR. SUHAIL HAJI YOUNUS, +92-21-34544880-2,latif.com.pk
MEKOTEX (PVT) LTD,MR. MUHAMMAD KHALID MAJEED," +92-21-8020105, 3505592",mekotex.com
METCO TEXTILE (PVT) LTD,MR. ASAD R. PREMJEE, +92-21-34311151-54,metcogroup.com.pk
N.P. COTTON MILLS LTD,MR. KHURRAM INAM, +92-21-32410663-4,
NADEEM TEXTILE MILLS LTD,MR. ZAHID MAZHAR, +92-21-35220481-88,nadeem.com.pk
NAGARIA TEXTILE MILLS PVT LTD.,MR. AMIR ABDUL SATTAR, +92-21-35130350,nagariatextiles.com
NAGINA COTTON MILLS LTD,MR. AMIN ELLAHI SHAIKH, +92-42-35756270-77,nagina.com
NAVEENA INDUSTRIES LTD,MR. SHAZAD KHALID, +92-21-111-667-667,
ORIENT TEXTILE MILLS LTD,MR. SALIM AZIZ, +92-21-35001593-2,orient.textile.com
PREMIUM TEXTILE MILLS LTD,MR. MUHAMMAD YASIN SIDDIK, +92-21-32400405-08,premiumtextile.com
QUETTA TEXTILE MILLS LTD,MR. TARIQ IQBAL, +92-21-32414334-36,quettagroup.com
RASHEED ENTERPRISES,MR. ABDUL RASHEED, +92-21-32570911-12,rasheedenterprises.enic.pk
S. FAZALILAHI & SONS (PVT) LTD,MR. MASOOD IHSAN," +92-21-32564521, 32564516",sfs.com.pk
SANA INDUSTRIES LTD,HAFIZ MOHAMMED IRFAN NAWAB, +92-21-34322556-9,sana-industries.com
SAPPHIRE TEXTILE MILL LTD,MR. NADEEM ABDULLAH, +92-21-111-000-100,sapphiretextiles.com.pk
SOORTY ENTERPRISES (PVT) LTD,MR. SHAHID SOORTY," +92-21-111-111-735, 5061912-5",soorty.com
SAYA WEAVING MILLS (PVT) LTD,MR. MUHAMMAD AJAZ SAYA, +92-21-32418122,sayatex.com
SURAJ COTTON MILLS LTD,MR. NADEEM MAQBOOL," +92-21-32415501,03,04",suraj.com
SURRIYA TEXTILE MILLS (PVT) LTD,MR. AMIN TARIQ," +92-21-32626358 , 32638370",surriyatextilemillspvtltd.enic.pk
TEXSTYLE CORPORATION,MR. SHOAIB DIWAN, +92-21-32438673,texstylecorp.com
ZAMAN TEXTILE MILLS LTD,MR. MUHAMMAD JAMIL QASSIM," +92-21-34923635, 34128347, 34915890",zamantextile.com
YUNUS TEXTILE MILLS LTD,MR. MUHAMMAD ALI TABBA, +92-21-35081305,yunustextile.com
ZAHRA TEXTILE,MR. ZOHAIR DILAWAR AGHA, +92-21-35301268,zahratextiles.com
FEROZE 1888 MILLS LTD,MR. REHAN RAHMAN, +92-21-35567890,feroze1888.com
NAVEENA EXPORTS LTD,MR. MASOOD RIAZ, +92-21-34310631-2,naveenagroup.com
ARTISTIC FABRIC MILLS (PVT) LTD,MR. MUHAMMAD IQBAL AHMED, +92-21-111-004-004,artisticfabricmills.com
LUCKY TEX PAKISTAN (PVT) LTD,MR. SALMAN AHMED TABBA, +92-21-32569791-5,luckytexonline.com
NATIONAL SPINNING MILLS (PVT) LTD,MR. KASHIF MUKHTAR, 022-3870513,
UTOPIA INDUSTRIES (PRIVATE) LIMITED,MR. ADNAN NIAZ, +92-333-8216800,utopia.pk
,,,
Principal Office,,,
Where We Are,,,
,,,
Follow Our Activity,,,
Important Links,,,
